SYMBOL,DAY1_PCT_CHANGE,DAY2_PCT_CHANGE,DELTA_PCT_CHANGE,TREND
THELEELA,1.74,1.37,-0.3699999999999999,down
THOMASCOTT,2.68,1.5,-1.1800000000000002,down
TICL,4.91,3.12,-1.79,down
TIGERLOGS,2.23,3.46,1.23,up
TOTAL,7.87,2.55,-5.32,down
TREJHARA,9.51,7.59,-1.92,down
TREL,2.24,3.13,0.8899999999999997,up
UEL,10.0,5.0,-5.0,down
USASEEDS,4.72,2.36,-2.36,down
UTKAL,4.89,4.89,0.0,flat
VARROC,2.82,9.94,7.119999999999999,up
VCL,4.92,4.69,-0.22999999999999954,down
VIGOR,1.29,3.92,2.63,up
VIJIFIN,1.94,1.99,0.050000000000000044,up
VINYAS,2.0,1.02,-0.98,down
VIVIDEL,5.0,5.0,0.0,flat
VIVO,4.98,4.97,-0.010000000000000675,down
VPRPL,1.03,4.99,3.96,up
VR,4.99,4.97,-0.020000000000000462,down
VSSL,1.37,2.4,1.0299999999999998,up
WEL,1.13,7.81,6.68,up
WELCORP,1.76,1.11,-0.6499999999999999,down
WEWIN,4.75,2.4,-2.35,down
WINDLAS,1.97,1.04,-0.9299999999999999,down
XTRANET,1.34,4.99,3.6500000000000004,up
ZEEMEDIA,2.16,1.55,-0.6100000000000001,down
ZENITHEXPO,1.52,9.77,8.25,up
