SYMBOL,DAY1_PCT_CHANGE,DAY2_PCT_CHANGE,DELTA_PCT_CHANGE,TREND
EXXARO,1.62,-1.75,-3.37,down
FCL,8.02,-0.26,-8.28,down
FEDFINA,2.16,-1.93,-4.09,down
FICRF3GP,8.04,,,flat
FIDEL,2.93,-1.39,-4.32,down
FINCABLES,3.13,-0.98,-4.109999999999999,down
FINPIPE,2.49,-4.02,-6.51,down
FIVESTAR,1.01,-1.81,-2.8200000000000003,down
FLUOROCHEM,1.11,-0.66,-1.77,down
FOCE,2.78,,,flat
FOCUS,1.43,-1.31,-2.74,down
FUSION,2.51,-4.65,-7.16,down
GAEL,1.65,-4.78,-6.43,down
GALAPREC,3.35,-10.82,-14.17,down
GANDHAR,4.99,-0.1,-5.09,down
GANESHIN,4.9,-0.92,-5.82,down
GANGABATH,3.1,-1.51,-4.61,down
GARFIBRES,5.2,-3.22,-8.42,down
GARUDA,2.29,-1.07,-3.3600000000000003,down
GATEWAY,1.57,-0.51,-2.08,down
GAUDIUMIVF,2.0,-2.0,-4.0,down
GAYAHWS,2.06,0.0,-2.06,down
GCSL,1.26,-1.08,-2.34,down
GEOJITFSL,2.07,-1.94,-4.01,down
GFLLIMITED,4.28,-2.25,-6.53,down
GILT5BETA,2.36,0.04,-2.32,down
GLAND,2.48,-0.28,-2.76,down
GLOBALE,1.31,-2.5,-3.81,down
GLOBALPET,1.31,,,flat
GLOBECIVIL,1.33,0.2,-1.1300000000000001,down
GLOBUSSPR,1.37,0.28,-1.09,down
GMDCLTD,2.91,-2.34,-5.25,down
GML,4.62,0.29,-4.33,down
GMMPFAUDLR,14.32,0.76,-13.56,down
GMRP&UI,2.26,-0.35,-2.61,down
GNRL,1.25,-1.4,-2.65,down
GOCOLORS,1.11,-1.8,-2.91,down
GOKUL,1.47,-0.9,-2.37,down
GOLD1,2.42,1.0,-1.42,down
GOLDADD,2.44,0.88,-1.56,down
GOLDAXIS,2.74,0.66,-2.08,down
GOLDBEES,2.59,0.75,-1.8399999999999999,down
GOLDBETA,2.51,0.92,-1.5899999999999999,down
GOLDCASE,2.55,0.82,-1.73,down
GOLDETF,2.4,0.88,-1.52,down
GOLDIAM,3.87,-0.86,-4.73,down
GOLDIETF,2.56,0.65,-1.9100000000000001,down
GOODLUCK,2.44,-1.65,-4.09,down
