SYMBOL,full_pct_change_2026-08-06,top_gainers_2026-08-06,top_losers_2026-08-06,CURRENT_UP_STREAK
ANANTAM,-0.15,,,0
ANANTRAJ,-1.72,,,0
ANDHRAPAP,0.1,,,0
ANDHRSUGAR,0.44,,,0
ANGELONE,-0.7,,,0
ANIKINDS,2.04,,,0
ANKITMETAL,1.29,,,0
ANLON,0.0,,,0
ANMOL,0.4,,,0
ANNAPURNA,9.3,,,0
ANONDITA,-2.4,,,0
ANSALAPI,1.71,,,0
ANTELOPUS,-1.52,,,0
ANTGRAPHIC,0.0,,,0
ANTHEM,0.0,,,0
ANUHPHR,0.11,,,0
ANUP,-9.97,,-9.97,0
ANURAS,-0.27,,,0
ANYA,-1.61,,,0
AONEGOLD,2.37,,,0
AONELIQUID,0.01,,,0
AONENIFTY,0.3,,,0
AONESILVER,0.94,,,0
AONETMMQ50,-0.1,,,0
AONETOTAL,0.25,,,0
APARINDS,2.94,,,0
APCL,-1.05,,,0
APCOTEXIND,-1.41,,,0
APEX,-0.69,,,0
APEXECO,-4.09,,,0
APLAPOLLO,-0.18,,,0
APLLTD,1.99,,,0
APOLLO,1.23,,,0
APOLLOHOSP,0.72,,,0
APOLLOPIPE,-1.29,,,0
APOLLOTYRE,1.08,,,0
APOLSINHOT,3.56,,,0
APRAMEYA,0.31,,,0
APS,-3.08,,,0
APSISAERO,1.6,,,0
APTECHT,-1.75,,,0
APTUS,-1.32,,,0
AQYLON,4.95,,,0
ARABIAN,18.06,18.06,,0
ARCHIDPLY,2.01,,,0
ARCHIES,1.56,,,0
ARCIIL,7.04,,,0
ARE&M,-1.21,,,0
ARENTERP,-3.32,,,0
ARFIN,1.92,,,0
ARHAM,4.41,,,0
ARIES,0.28,,,0
ARIHANT,-0.55,,,0
ARIHANTCAP,-1.23,,,0
ARIHANTSUP,2.71,,,0
ARIS,1.4,,,0
ARKADE,0.44,,,0
ARMANFIN,-0.89,,,0
ARMOUR,2.93,,,0
AROGRANITE,-0.27,,,0
ARROWGREEN,0.13,,,0
ARSHIYA,1.08,,,0
ARSSBL,-0.88,,,0
ARTEMISMED,-3.24,,,0
ARTNIRMAN,2.45,,,0
ARUNAYA,-0.62,,,0
ARVEE,0.41,,,0
ARVIND,0.18,,,0
ARVINDFASN,-0.4,,,0
ARVINDPORT,4.93,,,0
ARVSMART,1.17,,,0
ASAHIINDIA,-1.38,,,0
ASAHISONG,-3.09,,,0
ASAL,-1.43,,,0
ASALCBR,0.39,,,0
ASHALOG,0.88,,,0
ASHAPURMIN,-1.43,,,0
ASHIANA,-1.09,,,0
ASHIKAG,2.76,,,0
ASHIMASYN,1.74,,,0
ASHOKA,-0.05,,,0
ASHOKAMET,-0.49,,,0
ASHOKLEY,0.28,,,0
ASHWINI,-1.45,,,0
ASIANENE,-2.57,,,0
ASIANHOTNR,3.05,,,0
ASIANPAINT,-0.18,,,0
ASIANTILES,4.85,,,0
ASKAUTOLTD,6.47,,,0
ASMS,-3.22,,,0
ASPINWALL,-2.81,,,0
ASPIRE,0.0,,,0
ASTAR,-0.02,,,0
ASTEC,0.62,,,0
ASTERDM,0.28,,,0
ASTRAL,0.51,,,0
ASTRAMICRO,-0.4,,,0
ASTRAZEN,-0.41,,,0
ASTRON,2.2,,,0
ATALREAL,0.23,,,0
ATAM,-0.2,,,0
ATCENERGY,3.73,,,0
ATGL,-0.02,,,0
ATHERENERG,-1.2,,,0
ATL,10.31,10.31,,0
ATLANTAA,0.02,,,0
ATLANTAELE,-2.55,,,0
ATLASCYCLE,0.43,,,0
ATLPP,-0.33,,,0
ATMASTCO,0.24,,,0
ATUL,0.04,,,0
ATULAUTO,-0.24,,,0
AUBANK,3.45,,,0
AURIONPRO,0.14,,,0
AUROIMPEX,1.75,,,0
AUROPHARMA,-1.52,,,0
AURUM,-0.18,,,0
AURUS,-2.98,,,0
AUSOMENT,-1.91,,,0
AUTOAXLES,-4.66,,,0
AUTOBEES,-0.67,,,0
AUTOIETF,-0.66,,,0
AUTOIND,1.25,,,0
AVADHSUGAR,-1.04,,,0
AVALON,-2.67,,,0
AVANA,0.0,,,0
AVANTEL,-0.3,,,0
AVANTIFEED,-0.8,,,0
AVATAR,2.0,,,0
AVG,-0.19,,,0
AVIANSH,0.96,,,0
AVIENCE,-2.36,,,0
AVL,0.56,,,0
AVONMORE,-2.37,,,0
AVPINFRA,-1.57,,,0
AVROIND,-0.55,,,0
AVTNPL,1.1,,,0
AWFIS,-1.2,,,0
AWHCL,-0.29,,,0
AWL,1.98,,,0
AXISBANK,0.17,,,0
AXISCADES,2.58,,,0
AXITA,-0.54,,,0
AYE,0.39,,,0
AYMSYNTEX,-1.14,,,0
AZAD,0.37,,,0
BABAFP,-1.96,,,0
BAFNAPH,1.99,,,0
BAGDIGITAL,0.55,,,0
BAGFILMS,-1.14,,,0
BAGMANE,0.51,,,0
BAHETI,0.1,,,0
BAIDFIN,0.0,,,0
BAJAJ-AUTO,-1.53,,,0
BAJAJCON,0.41,,,0
BAJAJELEC,9.88,,,0
BAJAJFINSV,0.0,,,0
BAJAJHCARE,-1.13,,,0
BAJAJHFL,-0.66,,,0
BAJAJHIND,-1.46,,,0
BAJAJHLDNG,-0.95,,,0
BAJAJINDEF,2.55,,,0
BAJAJST,-1.9,,,0
BAJEL,5.73,,,0
BAJFINANCE,-1.21,,,0
BALAJEE,-1.42,,,0
BALAJIPHOS,0.85,,,0
BALAJITELE,1.04,,,0
