SYMBOL,CLOSE,PREV_CLOSE,PCT_CHANGE
SPORTKING,214.34,206.66,3.72
WELENT,588.9,567.8,3.72
KDDL,3843.9,3706.1,3.72
RKFORGE,726.55,700.5,3.72
REPL,67.39,64.98,3.71
BHAGCHEM,285.6,275.4,3.7
KOLTEPATIL,445.1,429.3,3.68
BEACON,91.95,88.7,3.66
SUPRIYA,923.45,890.85,3.66
MCON,42.5,41.0,3.66
BEML,1787.8,1725.1,3.63
BLACKBUCK,577.65,557.55,3.61
LAHOTIOV,42.74,41.26,3.59
NRBBEARING,461.5,445.6,3.57
PPSL,2.9,2.8,3.57
FOODSIN,54.92,53.03,3.56
MBEL,298.5,288.25,3.56
PANACHE,458.55,442.85,3.55
VALIANTORG,288.5,278.7,3.52
TAURIAN,420.3,406.05,3.51
TGL,20.75,20.05,3.49
ELGIRUBCO,63.02,60.9,3.48
CYIENTDLM,685.55,662.5,3.48
FINEORG,5162.1,4989.0,3.47
GSS,14.01,13.54,3.47
TIGERLOGS,27.49,26.57,3.46
PGEL,630.65,609.75,3.43
NATCAPSUQ,155.04,149.91,3.42
ASHALOG,58.95,57.0,3.42
ROHLTD,323.2,312.5,3.42
SIMCA,245.75,237.7,3.39
CMLL,599.45,579.95,3.36
TCS,2452.7,2373.0,3.36
RPTECH,894.65,865.55,3.36
VOLERCAR,220.0,212.9,3.33
TANKUP,1240.0,1200.0,3.33
EXIDEIND,490.0,474.25,3.32
VELJAN,1706.4,1651.8,3.31
MANYAVAR,516.9,500.35,3.31
PEARLPOLY,16.89,16.35,3.3
SONACOMS,818.05,792.0,3.29
MASKINVEST,157.0,152.0,3.29
JINDRILL,636.05,615.85,3.28
MENONBE,237.35,229.82,3.28
PRUDENT,3371.8,3266.7,3.22
GRASIM,3323.0,3220.0,3.2
AKSHOPTFBR,6.79,6.58,3.19
ICDSLTD,42.02,40.72,3.19
HINDALCO,1059.6,1027.0,3.17
HEROMOTOCO,5725.0,5550.5,3.14
APARINDS,16631.0,16126.0,3.13
GATECH,0.66,0.64,3.13
TREL,25.4,24.63,3.13
TICL,10.57,10.25,3.12
MANINFRA,113.85,110.41,3.12
ANMOL,10.33,10.02,3.09
ESILVER,230.56,223.67,3.08
HTMEDIA,27.74,26.91,3.08
GYFTR,164.3,159.4,3.07
CLEAN,795.15,771.65,3.05
PPAP,321.35,311.85,3.05
VMSTMT,46.11,44.75,3.04
WELSPUNLIV,164.09,159.25,3.04
VILINBIO,44.05,42.75,3.04
JALAN,1.7,1.65,3.03
DHANLAXMI,25.5,24.75,3.03
CONTROLPR,579.2,562.15,3.03
THEJO,2223.9,2159.1,3.0
ASTERDM,869.7,844.45,2.99
SATTVAENGG,84.45,82.0,2.99
WEBELSOLAR,96.38,93.61,2.96
SAYAJIHOTL,325.45,316.1,2.96
SGBJAN27,14924.0,14500.0,2.92
BHAGYANGR,393.2,382.05,2.92
SAHASRA,337.5,328.05,2.88
LTM,4658.1,4528.0,2.87
ROSSELLIND,56.52,54.95,2.86
IOLCP,167.85,163.18,2.86
JUBLFOOD,486.5,473.0,2.85
SHILPAMED,759.75,738.8,2.84
M&M,3502.0,3406.0,2.82
CPCAP,116.13,112.95,2.82
SILVER1,22.38,21.77,2.8
SPLIL,32.69,31.8,2.8
SILVERAXIS,229.17,222.94,2.79
MEESHO,191.35,186.17,2.78
ORIENTCER,42.58,41.43,2.78
WESTLIFE,594.85,578.75,2.78
HLEGLAS,467.05,454.4,2.78
SILVERBEES,220.47,214.53,2.77
KEN,39.1,38.05,2.76
SILVERIETF,229.95,223.8,2.75
TRUALT,477.05,464.3,2.75
SILVERBETA,222.6,216.64,2.75
RVTH,733.45,713.9,2.74
BI,62.92,61.25,2.73
SILVERCASE,23.36,22.74,2.73
SGBOCT26,14725.0,14333.0,2.73
AFFORDABLE,196.05,190.85,2.72
SGL,10.19,9.92,2.72
SILVER,230.03,223.95,2.71
SILVERBND,231.19,225.09,2.71
TDPOWERSYS,1260.9,1227.7,2.7
BALPHARMA,89.23,86.89,2.69
RNFI,280.75,273.4,2.69
TEGA,1625.7,1583.3,2.68
DENEERS,183.95,179.15,2.68
S&SPOWER,317.95,309.65,2.68
SBISILVER,225.73,219.88,2.66
ARVIND,560.55,546.1,2.65
ITBETA,331.88,323.33,2.64
HDFCSILVER,220.43,214.75,2.64
SILVERADD,221.87,216.17,2.64
