TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-08-07,2026-08-07,CM,NSE,STK,25262,INE0RWQ01014,TOLINS,EQ,,,,,TOLINS TYRES LIMITED,102.49,103.35,101.61,102.14,102.85,103.09,,102.14,,,24552,2523410.86,486,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,3518,INE685A01028,TORNTPHARM,EQ,,,,,TORRENT PHARMACEUTICALS L,4956.0,4987.5,4901.0,4924.0,4924.0,4956.0,,4924.08,,,394462,1946062098.5,32752,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,13786,INE813H01021,TORNTPOWER,EQ,,,,,TORRENT POWER LTD,1325.2,1355.4,1321.0,1350.8,1352.0,1325.2,,1350.58,,,379616,510066681.7,19505,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,22423,INE336X01012,TOTAL,EQ,,,,,TOTAL TRANSPORT SYS LTD,67.63,71.79,67.0,69.6,70.25,67.87,,69.6,,,59513,4152034.53,601,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,16908,INE486Y01013,TOUCHWOOD,EQ,,,,,TOUCHWOOD ENTERTAIN LTD.,66.16,66.91,65.4,66.85,66.86,67.09,,66.85,,,691,45854.17,29,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,3466,INE305A01023,TFCILTD,EQ,,,,,TOURISM FINANCE CORP. OF,112.5,118.0,112.5,117.48,117.97,110.81,,117.48,,,23957180,2767702805.77,50101,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,9219,INE413G01022,TPLPLASTEH,EQ,,,,,TPL PLASTECH LIMITED,78.1,79.67,76.25,77.51,76.75,78.73,,77.47,,,138380,10833744.9,1580,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,11582,INE0HMF01019,TRACXN,EQ,,,,,TRACXN TECHNOLOGIES LTD,30.09,30.3,29.75,29.97,29.85,30.09,,29.97,,,126280,3787970.98,607,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,15174,INE763I01026,TARIL,EQ,,,,,TRANS & RECTI. LTD,295.9,301.5,295.1,297.8,298.5,296.15,,297.79,,,1045223,311968165.7,15132,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,17795,INE0O3901029,TREL,EQ,,,,,TRANSINDIA REAL ESTATE L,24.65,25.7,24.65,25.4,25.5,24.63,,25.34,,,76731,1930208.56,558,F1,1,,,,,
